at,sale,gsector
29374.5,23518,25
544.016,61.015,60
1519.673,51.952,40
2339.364,2695.509,30
966.454,1276.948,20
7329,450.9,60
9497.449,897.567,60
26598,69690.4,30
1459.486,182.983,60
2747.054,1983.225,25
2747.593,1445.695,45
3278,3950.6,20
6288.898,187.68,40
2819.44,1684.179,45
3209.4,1594.8,15
1695.7,2704.5,20
7948.021,1438.617,40
5413.2,1860.1,35
927.571,635.028,20
1362.285,186.419,35
2570.5,1177.1,20
4976.431,1126.582,10
1758.741,1072.77,40
2976.98,2391.269,50
3011.136,143.869,40
358.663,100.362,35
1051.983,494.366,35
2524.913,1737.063,25
708.164,154.567,35
822.983,566.241,35
54015,26982,45
416.552,75,35
1529.914,240.919,40
3304.949,133.039,40
6050.128,249.918,40
4970.894,1024.917,25
515.577,638.783,25
279.238,20.077,35
261.584,171.128,35
4013.356,179.439,40
960.569,250.646,35
3739.954,1182.445,25
9869.55,9497.578,45
934.707,501.399,45
1668.179,171.114,60
1174.545,18.983,40
1207.866,123.688,60
3894.072,1614.173,45
2141.6,1153.4,20
690.253,589.505,60
16051.5,4634.4,20
37823,6320,55
1045.361,561.034,45
1768.547,1307.682,45
3588.4,1781.3,20
514.44,297.219,35
1417.6,903.2,15
174.087,187.13,35
572.602,90.732,35
1558.525,1765.421,20
1897.489,104.82,40
2334.5,1216.1,15
676.322,57.994,35
1571,178,50
11191,1145,50
4160.36,171.319,40
1929.855,372.792,25
10261,12670,25
1602.838,66.482,40
165.435,16.597,35
9487.433,1761.776,45
3051,2353,15
3964.685,4235.677,20
207.616,138.923,45
213.25,15.093,35
3134,921,25
10587,832,60
320.412,71.078,35
956.257,1670.137,20
1866.555,1612.169,25
2008.445,816.641,30
4483.615,287.704,40
14860,9286,15
1546.896,459.886,40
737.067,1091.721,25
22662.831,780.139,40
324.468,28.628,35
1586.539,417.248,10
318.117,552.56,25
229.091,277.309,25
4108.284,473.737,60
246.488,95.813,50
3231,903.9,45
865.6,894.5,40
2411.351,934.241,35
789.404,253.227,35
510.29,614.68,25
11207.33,616.499,40
960.944,271.141,45
4418.969,1097.847,60
2753.645,836.033,45
487.393,318.11,30
34969,76546,35
305.138,360.466,45
10931,7649,45
642.747,976.765,25
2987.006,135.1,40
1109.329,1163.466,20
16478.8,5438.4,45
509.654,45.743,50
1274.878,1324.051,25
700.461,421.712,35
9212.357,464.336,40
190774,36477,40
1263.407,1157.917,15
252.23,300.64,45
3105.165,541.643,45
1478.505,1613.343,25
21879.964,1305.306,60
3772.656,6960.37,45
7639.529,322.378,40
3990.053,2929.34,15
11596.642,11604.493,25
32465.187,2208.805,25
11443,5259,20
4870.5,3242.1,15
14397.416,27266.438,45
365.605,130.457,35
84656,14596,40
4977.577,228.843,40
9344.7,18467.5,45
3812.26,499.725,60
4186.882,263.226,60
21804,3152,10
2189.531,392.042,60
125987,44791,40
511.739,265.166,35
432.447,48.128,45
525.861,406.562,35
714.161,382.903,45
872.77,1813.234,25
1022.839,913.098,25
774.95,880.824,20
1113.505,351.737,45
10875,8263,25
354.734,193.365,25
5135.6,3690.9,20
7211.734,318.63,40
7198.952,1074.712,60
1768.081,120.32,60
671.877,184.413,25
4256,4163,45
20286.891,2574.356,60
16029,10165,25
2277.391,9348.485,30
1645.572,225.347,60
31.343,66.062,25
7719.7,25086.3,30
522.503,87.992,35
6092.074,513.36,40
49779,11618,30
24701,10635,25
3139.734,1862.716,45
5682.797,312.171,40
1139.5,738.3,35
6558.948,2178.49,25
