,Ticker,Book/Price,E/P,EBIT/P,SALES/P,RetYTD
77,CRS,0.992856970642133,-0.16372905297668155,-0.11245675807675383,1.0522586697403802,0.4546
78,CASY,0.29282975220185303,0.04740902626041873,0.07461338310296242,1.1597240246187541,0.0602
79,CAT,0.14878668297939643,0.05857054027258574,0.0696004678751593,0.46007073635906426,0.1019
80,CATO,1.1371283682107811,-0.21904545394994085,-0.3655862767744006,2.6530642559780224,-0.1562
81,CVCO,0.42192687903006937,0.04730414775340632,0.05679571271830515,0.6838635835178564,-0.2572
82,CHE,0.07899958070230392,0.03403859528265097,0.04360501858914168,0.2711503980002204,-0.0575
83,JPM,0.5561683102610963,0.10367520067631031,0.1713620180831388,0.27284505475292803,-0.2035
84,CPK,0.30071761354374044,0.032423102491883585,0.050931610642846674,0.22140908730613545,-0.0634
85,CVX,0.6140833747003676,0.06899589931251299,0.07144663365609344,0.6871152581390653,0.4622
86,EAT,-0.18059150416110692,0.078357540216293,0.12539588122759351,1.9873996788293526,-0.0156
87,CHD,0.13005126711694417,0.03328511182088065,0.03991799996500538,0.20876502581456513,0.0015
88,CHDN,0.033426705846078084,0.027140131767464305,0.03351386805167411,0.17401934347247688,-0.1254
89,CTAS,0.1002639076739944,0.030204613418279614,0.03706933288853896,0.19347658857234407,-0.0666
90,CLF,0.5042034666967636,0.2744189359726648,0.3924337728953135,1.8775839113203343,0.4166
91,CLX,0.019198501519119966,0.03316529459507342,0.05722181109713372,0.3429104614400479,-0.1651
92,COKE,0.12263108158541006,0.032662064787677816,0.07712575125462523,0.9583802355908978,-0.2043
93,KO,0.08981063775159055,0.03815556074050138,0.04425904466613884,0.1509470064910532,0.0981
94,CDE,0.618021729943729,-0.024189173827193444,0.04583138720224194,0.6431716129287357,0.0456
95,COHR,0.13274272310075133,-0.016321888115699196,0.021296080264419506,0.22742912264693402,-0.0032
96,COHU,0.4772263737397798,0.09048353769850793,0.07169410993294777,0.47977445937931584,-0.3313
97,CL,0.00849057828550748,0.03019801735042562,0.05408038287271514,0.24288072957606868,-0.0516
98,CCF,0.36605177939581063,0.04775457397817118,0.06646518177015277,0.3118462981402676,-0.1233
99,AON,0.01643425134658631,0.01943919457112707,0.05461561757593151,0.1888622306021931,0.0922
100,CMCSA,0.4211652668079533,0.062058017449254994,0.0913491913042851,0.5101082252158727,-0.0546
101,CMA,0.6599028167111352,0.10272777421279566,0.16781215171062852,0.26596642912627916,0.0157
102,CBSH,0.4109359913877388,0.06345403903557771,0.10187196785538283,0.17156220000507477,0.0233
103,C,1.5269053030053208,0.18318490964204684,0.2862764900774444,0.6722982983469161,-0.1566
104,CMC,0.5244111950282294,0.09434537364544154,0.13928993610370935,1.5378434155090568,0.2213
105,CAR,-0.01897863376783765,0.11085247450759719,0.17977942169169847,0.8034000739994184,0.2799
106,CMTL,0.8052538188521371,-0.11817017251044007,0.057608763196366146,0.9354790214814975,-0.3862
107,CAG,0.49105667269682135,0.0745789665916686,0.11260344432265332,0.6422415827208469,0.043
108,SSTK,0.1160207118276152,0.02275504942528585,0.027664263803978774,0.19153811424591555,-0.265
109,ED,0.6634047692833361,0.044564696284641936,0.09356599680564495,0.4527985040035387,0.149
110,CTO,1.1846354773845669,0.08239745892181191,-0.0038116392988212923,0.19339459697239703,0.0612
111,CMS,0.339916297614497,0.07178191831940291,0.06079976230157851,0.38883198770355054,0.0999
112,CLR,0.45844878362675234,0.10186251637932986,0.1515060260278229,0.35074975764349225,0.4609
113,COO,0.33610374333135373,0.14257464821628932,0.030096241155718906,0.14149978246072795,-0.0461
114,GLW,0.3991145888954691,0.0616810513609636,0.07087172218284905,0.4557148820908129,-0.0951
115,CUZ,0.7625068644101215,0.04651509432893666,0.030119953663428425,0.12720898026736552,-0.0425
116,CBRL,0.21955307568638488,0.08420182834815157,0.05097870808954759,0.9334326473772349,-0.0789
117,CR,0.31142199897509987,0.07400160364228482,0.08248272450069093,0.5404802470888052,0.0388
118,OMF,0.48361279679800484,0.20545335111302243,0.4154669688794921,0.7775643189384022,-0.0787
119,CCK,0.13703419461274086,-0.04013553817109565,0.09568025617573694,0.8166148605740425,0.0751
120,CFR,0.5323236273196125,0.05492681951717194,0.07352869148462865,0.17156884761251925,0.1068
121,CMI,0.272607805384921,0.06855407520359531,0.07106332807355328,0.7727533742212872,-0.1018
122,CW,0.34238331849101805,0.050080090766848925,0.07531368266645579,0.46974742357719745,0.0912
123,WEN,0.08477177825211744,0.038926195134103225,0.07013210852337733,0.3684923266248331,-0.1241
124,DAN,0.5839222720100857,0.05985051383245935,0.11028292650346572,2.717577899651517,-0.3168
125,DHR,0.1781100878392754,0.02734628976992431,0.034470863321050246,0.12520290262608125,-0.1581
126,TGT,0.16331180634573403,0.049400690451396556,0.07650999791751321,1.0581451463651816,0.0249
127,DE,0.17448243749373174,0.056450478800668565,0.0789435758374602,0.4161506955556917,0.2737
